INFO 2020-07-22 20:24:27,401 autoreload 222 /Users/chenfeng/PycharmProjects/luffyapi/luffyapi/apps/user/views.py changed, reloading.
INFO 2020-07-22 20:24:27,879 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-22 20:24:27,879 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-22 20:24:43,251 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-22 20:41:32,384 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-22 20:41:32,566 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-22 20:41:32,567 basehttp 157 "GET /media/banner/banner3.png HTTP/1.1" 200 111031
INFO 2020-07-22 20:41:32,585 basehttp 157 "GET /media/banner/banner2.png HTTP/1.1" 200 772079
INFO 2020-07-22 20:41:32,586 basehttp 157 "GET /media/banner/banner4.png HTTP/1.1" 200 822746
INFO 2020-07-22 20:42:55,155 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-22 20:42:55,221 basehttp 157 "GET /media/banner/banner3.png HTTP/1.1" 200 111031
INFO 2020-07-22 20:42:55,223 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-22 20:42:55,236 basehttp 157 "GET /media/banner/banner2.png HTTP/1.1" 200 772079
INFO 2020-07-22 20:42:55,237 basehttp 157 "GET /media/banner/banner4.png HTTP/1.1" 200 822746
INFO 2020-07-22 20:54:21,601 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-22 20:54:21,815 basehttp 157 "GET /media/banner/banner3.png HTTP/1.1" 200 111031
INFO 2020-07-22 20:54:21,817 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-22 20:54:21,830 basehttp 157 "GET /media/banner/banner2.png HTTP/1.1" 200 772079
INFO 2020-07-22 20:54:21,831 basehttp 157 "GET /media/banner/banner4.png HTTP/1.1" 200 822746
INFO 2020-07-22 20:59:24,040 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-22 20:59:24,078 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-22 20:59:24,078 basehttp 157 "GET /media/banner/banner3.png HTTP/1.1" 200 111031
INFO 2020-07-22 20:59:24,093 basehttp 157 "GET /media/banner/banner2.png HTTP/1.1" 200 772079
INFO 2020-07-22 20:59:24,094 basehttp 157 "GET /media/banner/banner4.png HTTP/1.1" 200 822746
INFO 2020-07-22 21:01:02,196 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-22 21:01:02,253 basehttp 157 "GET /media/banner/banner3.png HTTP/1.1" 200 111031
INFO 2020-07-22 21:01:02,255 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-22 21:01:02,269 basehttp 157 "GET /media/banner/banner4.png HTTP/1.1" 200 822746
INFO 2020-07-22 21:01:02,271 basehttp 157 "GET /media/banner/banner2.png HTTP/1.1" 200 772079
INFO 2020-07-22 21:01:54,528 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
